pubchem id,common name,flavor profile
7284,2-Methylbutyraldehyde,"{'coffee', 'almond', 'musty', 'cocoa', 'nutty'}"
7288,3-Pentanone,"{'ether', 'acetone', 'ethereal'}"
7302,gamma-Butyrolactone,"{'sweet', 'fatty', 'creamy', 'oily', 'caramel'}"
7341,2-Methylpentanoic acid,"{'cheese', 'sour'}"
7342,Ethyl Isobutyrate,"{'sweet', 'fruity', 'alcoholic', 'fusel', 'strawberry', 'rummy', 'ethereal', 'rubber'}"
7344,Ethyl Lactate,"{'butter', 'buttery', 'sharp', 'tart', 'fruity', 'fruit', 'butterscotch'}"
7351,Isobutyl isobutyrate,"{'pineapple', 'tropical', 'grape skin'}"
7359,2-Ethylbutanal,"{'sweet', 'green', 'cocoa', 'fruity', 'ethereal'}"
7360,Tetrahydrofurfuryl Alcohol,"{'faint', 'vegetable', 'oily', 'cauliflower', 'caramel', 'warm'}"
7361,Furfuryl Alcohol,"{'coffee', 'musty', 'sweet', 'caramel', 'alcoholic', 'burnt', 'bread', 'bitter', 'chemical'}"
7362,2-Furaldehyde,"{'almond', 'sweet', 'fragrant', 'bread', 'woody', 'baked'}"
7363,Furfuryl mercaptan,"{'coffee', 'fatty', 'oily', 'fishy', 'roasted', 'burnt', 'sulfury', 'chocolate', 'sulfurous', 'roast', 'smoky'}"
7409,1-Phenylethanol,"{'sweet', 'acetophenone', 'gardenia', 'hyacinth', 'fresh'}"
7456,Methyl 4-hydroxybenzoate,{'odorless'}
7460,Alpha-Phellandrene,"{'citrus', 'green', 'mint', 'spice', 'herbal', 'turpentine', 'peppery', 'terpene', 'woody'}"
7462,Alpha-Terpinene,"{'citrus', 'lemon', 'camphoraceous', 'medicinal', 'herbal', 'bitter', 'terpene', 'woody'}"
7469,4'-Hydroxyacetophenone,"{'mimosa', 'sweet', 'hawthorn', 'mild', 'balsam'}"
7476,4'-Methoxyacetophenone,"{'anisic', 'butter', 'sweet', 'hawthorn', 'caramel', 'bitter', 'powdery', 'balsamic', 'acacia', 'vanilla'}"
7501,Styrene,"{'plastic', 'sweet', 'gasoline', 'balsam', 'balsamic', 'floral'}"
7509,Benzyl Mercaptan,"{'coffee', 'garlic', 'onion', 'horseradish', 'mint', 'alliaceous', 'sharp', 'sulfurous'}"
7520,Thioanisole,"{'spicy', 'solvent', 'woody', 'toluene'}"
7559,Methyl Phenylacetate,"{'almond', 'waxy', 'sweet', 'spice', 'floral', 'honey'}"
7583,Diphenyl oxide,"{'phenolic', 'geranium', 'green', 'leaf'}"
7590,Ethyl Phenylacetate,"{'rose', 'anise', 'sweet', 'cocoa', 'balsam', 'bitter', 'chocolate', 'grapefruit', 'melon', 'raspberry', 'floral', 'fruit', 'honey'}"
7646,Benzyl isobutyrate,"{'rose', 'sweet', 'tropical', 'oily', 'jasmin', 'jasmine', 'fruity'}"
7650,Benzyl butyrate,"{'butter', 'apricot', 'peach', 'cheese', 'plum', 'fruity', 'logenberry', 'pear', 'jasmin', 'jasmine', 'fresh', 'berry'}"
7654,Phenethyl acetate,"{'rose', 'sweet', 'tropical', 'floral', 'tobacco', 'fruity', 'honey'}"
7655,Phenethyl isobutyrate,"{'rose', 'peach', 'floral', 'tea', 'bitter', 'pastry', 'fruity'}"
7658,Phenethyl butyrate,"{'musty', 'sweet', 'floral', 'strawberry', 'yeast'}"
7707,3-Phenylpropanal,"{'strawberry', 'green', 'foliage', 'cinnamon', 'clove', 'cortex', 'leaf', 'storax', 'balsam', 'hyacinth', 'chocolate', 'fresh', 'honey'}"
7708,Benzyl formate,"{'almond', 'apricot', 'pineapple', 'floral', 'black tea', 'spicy', 'fruity', 'cranberry'}"
7710,gamma-Nonanolactone,"{'sweet', 'peach', 'waxy', 'creamy', 'coconut', 'oily', 'buttery'}"
7711,2-Phenylethyl formate,"{'rose', 'green', 'watercress', 'bitter', 'hyacinth', 'herbal'}"
7720,2-Ethylhexan-1-ol,"{'citrus', 'rose', 'green', 'sweet', 'oily', 'floral', 'fresh'}"
7728,5-Ethyl-2-methylpyridine,"{'raw', 'potato', 'nutty', 'roasted', 'earthy', 'strong'}"
7731,4-Methylanisole,"{'camphoraceous', 'nutty', 'powdery', 'naphthyl', 'ylang', 'cedar', 'cresol'}"
7742,gamma-Heptalactone,"{'tonka', 'fat', 'sweet', 'nut', 'hay', 'coconut', 'caramel', 'nutty', 'fruit'}"
7749,Ethyl Propionate,"{'sweet', 'grape', 'pineapple', 'juicy', 'fruity', 'fruit', 'rum'}"
7755,3-Methylvaleric acid,"{'green', 'acidic', 'sweaty', 'cheesy', 'sharp', 'animal', 'fruity'}"
7761,Diethyl Malonate,"{'apple', 'sweet', 'fruity', 'green'}"
7762,Ethyl Butyrate,"{'apple', 'pineapple', 'banana', 'cognac', 'juicy', 'fruity', 'fruit'}"
7765,Acetal,"{'green', 'sweet', 'nut', 'vegetable', 'tart', 'cream', 'earthy', 'ether', 'fruit', 'honey'}"
7770,Propyl butyrate,"{'apricot', 'solvent', 'sweet', 'pineapple', 'sweaty', 'rancid', 'fruity'}"
7772,Isoamyl propionate,"{'sweet', 'tropical', 'tomato', 'pineapple', 'banana', 'bitter', 'ripe', 'fruity', 'fruit'}"
7775,Isobutyl hexanoate,"{'green', 'peach', 'sweet', 'tropical', 'pineapple', 'fruity'}"
7795,Isoamyl butyrate,"{'tropica', 'apricot', 'green', 'pear', 'banana', 'hop_oil', 'papaya', 'melon', 'fruity', 'whiskey'}"
7797,Ethyl Heptanoate,"{'wine', 'plum', 'pineapple', 'cognac', 'melon', 'fruity', 'fruit', 'rum'}"
7799,Ethyl Octanoate,"{'brandy', 'wine', 'apricot', 'fat', 'waxy', 'sweet', 'pear', 'banana', 'fruity', 'fruit'}"
7800,Ethyl dodecanoate,"{'clean', 'waxy', 'sweet', 'leaf', 'soapy', 'floral'}"
7802,3-Heptanone,"{'fruity', 'powerful', 'green', 'fatty'}"
7803,Propyl Propionate,"{'sweet', 'pineapple', 'bitter', 'sharp', 'pungent', 'chemical', 'fruity'}"
7824,Methyl Hexanoate,"{'sweet', 'pineapple', 'fruity', 'ether', 'fresh', 'fruit'}"
7826,Methyl Heptanoate,"{'waxy', 'green', 'sweet', 'orris', 'floral', 'fruit', 'berry'}"
7847,Acrolein,"{'almond', 'cherry'}"
7848,1-Propanethiol,"{'onion', 'sweet', 'gassy', 'natural', 'cabbage'}"
7858,Allyl Alcohol,"{'mustard', 'pungent'}"
7894,Isoamylamine,"{'unpleasant', 'ammonia'}"
7895,2-Pentanone,"{'alcohol', 'wine', 'sweet', 'potato', 'fishy', 'banana', 'ethereal', 'ether', 'fruity', 'fruit', 'woody'}"
7909,4-Methyl-2-pentanone,"{'solvent', 'green', 'dairy', 'spice', 'sharp', 'fruity', 'herbal'}"
7915,Isopropyl Acetate,"{'sweet', 'banana', 'chemical', 'fruity', 'ethereal'}"
7921,gamma-Valerolactone,"{'sweet', 'cocoa', 'tobacco', 'warm', 'herbal', 'woody'}"
7937,"2,6-Dimethylpyridine","{'bready', 'oily', 'cocoa', 'nutty', 'amine', 'woody'}"
7938,"2,6-Dimethylpyrazine","{'coffee', 'cocoa', 'roast beef', 'roasted nut', 'roasted nuts'}"
7945,Ethyl Isovalerate,"{'sweet', 'apple', 'tutti frutti', 'pineapple', 'fruity', 'fruit'}"
7957,"2,6-Dimethyl-4-heptanol","{'fermented', 'mild', 'fresh', 'yeasty', 'ethereal'}"
7958,"2,6-Dimethyl-4-heptanone","{'green', 'pineapple', 'banana', 'metallic', 'fruity'}"
7976,2-Methylpyrazine,"{'popcorn', 'green', 'peanut', 'cocoa', 'nutty', 'roasted', 'chocolate'}"
7997,Propyl acetate,"{'solvent', 'celery', 'pear', 'bitter', 'fusel', 'raspberry', 'fruity'}"
8007,Butylamine,"{'fishy', 'ammonia'}"
8025,Ethyl Formate,"{'alcohol', 'rose', 'green', 'bitter', 'cognac', 'pungent', 'ethereal'}"
8027,Pyrrole,"{'nutty', 'ethereal', 'sweet', 'warm'}"
8038,Isobutyl Acetate,"{'sweet', 'tropical', 'apple', 'banana', 'bitter', 'fruity', 'fruit', 'ethereal'}"
8042,Isopropyl Myristate,"{'cinnamon', 'oily', 'fatty', 'faint'}"
8048,Ethyl Decanoate,"{'brandy', 'sweet', 'waxy', 'apple', 'oily', 'grape', 'pear', 'fruity'}"
8051,2-Heptanone,"{'sweet', 'cinnamon', 'coconut', 'spicy', 'soap', 'fruity', 'herbal', 'woody'}"
8052,Isopentyl formate,"{'green', 'plum', 'blackcurrant', 'earthy', 'vinous', 'dry', 'fruit', 'ethereal'}"
8063,Pentanal,"{'almond', 'bready', 'fermented', 'nutty', 'pungent', 'fruity', 'berry', 'malt'}"
8073,Propyl Formate,"{'berry', 'sweet', 'green', 'bitter', 'fruity', 'rum', 'ethereal'}"
8082,Piperidine,"{'sweet', 'heavy', 'bitter', 'animal', 'floral'}"
8091,Methyl octanoate,"{'green', 'sweet', 'waxy', 'vegetable', 'aldehydic', 'orange', 'herbal'}"
8093,Octan-2-one,"{'gasoline', 'natural', 'earthy', 'herbal', 'bitter', 'soap', 'weedy', 'woody'}"
8094,Heptanoic Acid,"{'sweat', 'cheese', 'cheesy', 'rancid', 'sour'}"
8103,1-Hexanol,"{'green', 'sweet', 'flower', 'alcoholic', 'resin', 'oil', 'fusel', 'fruity', 'ethereal'}"
8122,Ethyl Stearate,"{'mild', 'waxy'}"
8129,1-Heptanol,"{'leafy', 'green', 'sweet', 'musty', 'coconut', 'violet', 'peony', 'chemical', 'strawberry', 'herbal', 'woody'}"
8130,Heptanal,"{'citrus', 'fat', 'green', 'fatty', 'wine-lee', 'rancid', 'aldehydic', 'fresh', 'ozone', 'herbal'}"
8139,Methyl Dodecanoate,"{'fat', 'waxy', 'creamy', 'coconut', 'soapy', 'mushroom'}"
8158,Nonanoic Acid,"{'fat', 'waxy', 'green', 'dirty', 'cheese', 'cultured dairy'}"
8159,Heptyl acetate,"{'apricot', 'green', 'pear', 'ripe', 'fresh', 'fruit', 'rum', 'woody'}"
8163,2-Undecanone,"{'iris', 'waxy', 'green', 'creamy', 'fatty', 'fruity', 'floral', 'orris', 'fresh', 'orange'}"
8164,Octyl acetate,"{'waxy', 'green', 'earthy', 'mushroom', 'herbal'}"
8167,Decyl Acetate,"{'clean', 'citrus', 'rose', 'waxy', 'pineapple', 'laundered cloths', 'oil', 'soapy', 'fresh', 'orange'}"
8169,Heptyl formate,"{'green', 'waxy', 'cucumber', 'apple', 'plum', 'floral', 'herbal'}"
8174,1-Decanol,"{'clean', 'rose', 'fat', 'sweet', 'waxy', 'fatty', 'watery', 'floral', 'orange'}"
8175,Decanal,"{'citrus', 'sweet', 'waxy', 'orange peel', 'tallow', 'aldehydic', 'soap', 'floral'}"
8180,Undecanoic Acid,"{'waxy', 'fatty', 'creamy', 'cheese', 'coconut', 'oil'}"
8184,1-Undecanol,"{'citrus', 'rose', 'waxy', 'fresh', 'mandarin', 'clean clothes', 'soapy', 'floral'}"
8186,Undecanal,"{'citrus', 'laundry', 'sweet', 'waxy', 'fatty', 'green', 'floral', 'oil', 'pungent', 'soapy', 'aldehydic', 'fresh'}"
8193,1-Dodecanol,"{'fat', 'waxy', 'fatty', 'coconut', 'earthy', 'wax', 'soapy', 'honey'}"
8194,Dodecanal,"{'citrus', 'fat', 'green', 'waxy', 'soapy', 'aldehydic', 'lily', 'floral'}"
8294,Linalyl Acetate,"{'bergamot', 'citrus', 'green', 'sweet', 'lavender', 'fruit', 'woody'}"
8314,2-Methylbutanoic acid,"{'sweat', 'cheese', 'acid', 'roquefort cheese', 'pungent', 'strawberry', 'sour'}"
8365,Ethyl salicylate,"{'sweet', 'mint', 'balsam', 'minty', 'spicy', 'floral', 'wintergreen'}"
8369,Maltol,"{'jam', 'sweet', 'candy', 'caramel', 'bread', 'fruity', 'cotton', 'baked'}"
8375,2'-Hydroxyacetophenone,"{'sweet', 'hawthorn', 'phenolic', 'tobacco', 'hawthorne', 'herbal', 'honey'}"
8432,1-Phenylethyl propionate,"{'rose', 'green', 'sweet', 'floral', 'gardenia', 'fresh', 'weedy'}"
8438,Piperonal,"{'sweet', 'coconut', 'flower', 'violet', 'heliotrope', 'bitter', 'powdery', 'vanilla'}"
8452,Cyclopentanone,{'minty'}
8468,Vanillic acid,"{'sweet', 'creamy', 'bean', 'milky', 'dairy', 'powdery', 'vanilla'}"
8499,Methyl 4-Methoxybenzoate,"{'anise', 'sweet', 'balsam', 'melon', 'herbal'}"
8500,4'-Methylacetophenone,"{'mimosa', 'coumarin', 'sweet', 'acetophenone', 'bitter almond', 'hawthorn', 'cherry', 'hawthorne'}"
8635,Methyl Anthranilate,"{'strawberry', 'lemon', 'grape', 'lime', 'flower', 'medicinal', 'neroli', 'orange flower', 'bitter', 'grapefruit', 'fruity', 'honey'}"
8655,Syringaldehyde,"{'tonka', 'sweet', 'plastic', 'mild', 'woody'}"
8712,2-Methylbenzenethiol,"{'garlic', 'onion', 'meaty', 'egg', 'sulfurous', 'rubber'}"
8723,2-Methyl-1-Butanol,"{'wine', 'onion', 'roasted', 'fruity', 'malt'}"
8738,Butyl Lactate,"{'waxy', 'creamy', 'fermented', 'fruity', 'mushroom'}"
8748,Beta-Terpineol,"{'must', 'earthy', 'pungent', 'woody'}"
8768,"3,4-Dihydroxybenzaldehyde","{'medical', 'almond', 'bitter', 'dry'}"
8785,Benzyl Acetate,"{'apricot', 'sweet', 'apple', 'plum', 'cherry', 'floral', 'fruity', 'boiled vegetable', 'bitter', 'jasmin', 'jasmine', 'fresh'}"
8792,Phenylethyl isovalerate,"{'apricot', 'rose', 'sweet', 'peach', 'floral', 'bitter', 'fruity'}"
8842,Citronellol,"{'citrus', 'rose', 'waxy', 'geranium', 'rose bud', 'bitter', 'floral', 'leather'}"
8857,Ethyl Acetate,"{'anise', 'green', 'sweet', 'pineapple', 'balsam', 'fruity', 'weedy', 'ethereal'}"
8858,Mesityl Oxide,"{'sweet', 'vegetable', 'acrylic', 'earthy', 'pungent', 'chemical'}"
8868,ethyl acetoacetate,"{'green', 'fresh', 'fatty', 'apple', 'fruity'}"
8892,Hexanoic Acid,"{'cheese', 'sour', 'sweat', 'fatty'}"
8908,Hexyl acetate,"{'herb', 'sweet', 'green', 'apple', 'banana', 'bitter', 'fruity', 'fruit'}"
8914,1-Nonanol,"{'clean', 'rose', 'fat', 'green', 'dusty', 'fatty', 'oily', 'floral', 'bitter', 'wet', 'fresh', 'orange'}"
